id,created_at,user_name,user_location,full_text,user_followers_count,retweet_count,Candidat
1471806916024225793,Fri Dec 17 11:38:08 +0000 2021,Arletty    ,,RT sandrineaink SCOOP  Cette opration a pour but dinterpeller en masse Brigitte Macron  propos de son frre JeanMichel surnomm aus,287,1,Emmanuel Macron
1471805871722315781,Fri Dec 17 11:33:59 +0000 2021,ThekMat ,Au bout du rouleau en Essonne,cld Il y a quand mme des programmes des idologies diffrentes La prsidentielle est perdue Les lecteurs de centregauche sont alls vers Macron  ce qui reste ne fait pas une majorit Do lintrt pour tous de se prsenter pour exister et mieux sen sortir aux lgislatives,289,0,Emmanuel Macron
1471806168523759618,Fri Dec 17 11:35:10 +0000 2021,Tourneur Gisle  2549,,RT roland56100 Flop prsidentiel  seulement 38 millions de personnes ont suivi lintervention dEmmanuel Macron sur TF1  La Lettre Pat,141,0,Emmanuel Macron
1471806437777186822,Fri Dec 17 11:36:14 +0000 2021,Ghhd48,,RT christopheconte Dj trois jours que le hoax minable et ordurier sur Brigitte Macron est en TT cest dsesprant,213,23,Emmanuel Macron
1471805772635983872,Fri Dec 17 11:33:35 +0000 2021,Victor Grand,,Patriote66 stanislasrig houdersen Pour info quand Zemmour tait sur TF1 ctait 72 Millions soit 90 en plus que linterview ultra complaisante de macron,36,0,Emmanuel Macron
1471806472111722502,Fri Dec 17 11:36:22 +0000 2021,Josephine,Var ProvenceAlpesCte dAzu,RT patrickedery Le couple Pcresse a touch plus de 2 millions d suite  la vente dAlstom notre fleuron industriel stratgique E,1523,1936,Emmanuel Macron
1471805662153818112,Fri Dec 17 11:33:09 +0000 2021,Vidal Vronique,,RT FrancoisRuffin 2h de Macron ce soir Et demain les macronistes trustent 9 mdias sur 12 Vive le pluralisme  La dmocratie en march,419,1226,Emmanuel Macron
1471807037776576514,Fri Dec 17 11:38:37 +0000 2021,Poerava,,RT jsferjou Sondage ravageur qui se conclue par un chiffre qui tue  63 des Franais ne souhaitent pas quEmmanuel Macron se prsente,13,1599,Emmanuel Macron
1471805144505495554,Fri Dec 17 11:31:05 +0000 2021,Boudarel philippe,,"RT AntoineGavory Interview de Macron 6 Franais sur 10 pas convaincus par le chef de ltat selon un sondage
 httpstcofdei0rhoUx",149,29,Emmanuel Macron
1471807167468609538,Fri Dec 17 11:39:08 +0000 2021,May Eden ,HauteGaronne MidiPyrnes,LesEchos Tout sauf Macron et Pecresse se sont les mmes Allez on dgage ces deux personnages immondes qui veulent le pass et la vax obligatoire,475,0,Emmanuel Macron
1471806565162307586,Fri Dec 17 11:36:44 +0000 2021,JL67,,PDavin37 Pcresse obit  Klaus Schwab comme Macron,1605,0,Emmanuel Macron
1471806377064550402,Fri Dec 17 11:35:59 +0000 2021,Agathe Rau,Bordeaux France,RT RTLFrance La popularit du prsident est suprieure  celle de ses prdcesseurs  la mme priode de leur quinquennat httpstcoOb,685,47,Emmanuel Macron
1471806046494760961,Fri Dec 17 11:34:40 +0000 2021,varois dans le 93 ,france,RT Andrgilles1 nadinemorano EricNaulleau ZemmourEric Sauf  que Naulleau  ne le trahit pas en soutenant  par intrt de carrire  une,1266,8,Emmanuel Macron
1471807176792547335,Fri Dec 17 11:39:10 +0000 2021,guillaumico,,RaquelGarridoFr CaronAymericoff KarimZeribi alexiscorbiere ZemmourEric Va sucer la bite a ton chef connard Cest lgant On nen attendait pas moins dune des poissonnires LFI Elle ferait mieux de soccuper de son pays le Chili ou la bas un vrai fasciste risque dtre lu Prcision je ne voterai ni Z ni Le pen mais Macron,3,0,Emmanuel Macron
1471806208378130436,Fri Dec 17 11:35:19 +0000 2021,Aorlia      3315 ,Bourges France,RT MarxFanAccount Entre linterview de Macron enregistre sans aucune contradiction et o on le dit socialiste et France Inter qui dbal,5324,117,Emmanuel Macron
1471805336562683906,Fri Dec 17 11:31:51 +0000 2021,Serge Bonza,Belgique,"Linterview dEmmanuel Macron na ni convaincu ni mobilis les Franais
httpstcoUzspmwMxeL",700,0,Emmanuel Macron
1471806150307950600,Fri Dec 17 11:35:05 +0000 2021,Ponsselet Laurent,SaintCloud,RT Benedetti65 Sur atlanticofr ce 1612 jsferjou RevuePol  httpstcoBbJZa71Jks,8,12,Emmanuel Macron
1471805220393000962,Fri Dec 17 11:31:24 +0000 2021,Daniel Laudic,,"RT EnModeMacaron Mais vous allez arrtez de diffuser oui ou non

IL NE FAUT SURTOUT PAS DIFFUSER

Macron et les macronistes dtestent",60,849,Emmanuel Macron
1471805756919926796,Fri Dec 17 11:33:31 +0000 2021,Corinne Le Moing Rocca,,RT clementmci Le saviezvous  63 572000 Franais nont pas regard lentretien dEmmanuel Macron hier sur TF1 ,1,1580,Emmanuel Macron
1471806223259521024,Fri Dec 17 11:35:23 +0000 2021,js15,,calisto0606 Ginette97787394 CNEWS Mais pourquoi en supprime 17 000 Macron ,299,0,Emmanuel Macron
1471805811693338627,Fri Dec 17 11:33:44 +0000 2021,LAINE christianeMacron2022EnsembleCitoyens,33410 MOURENS,RT OnZeLeft vpecresse LeFigaro Heureusement quE Macron a eu le courage du QuoiQuilEnCote Sans quoi il nous en coterait bien dava,6448,6,Emmanuel Macron
1471806240825221128,Fri Dec 17 11:35:27 +0000 2021,Mickey,London  Var,thomassnegaroff Dommage que votre mission ntait pas a la hauteur  Que des anti  Macron et du mpris pour le President  Ou est pass la dmocratie ,334,0,Emmanuel Macron
1471805941624549379,Fri Dec 17 11:34:15 +0000 2021,Sbastien W,,"RT NaphtalineLeBon La France de Macron cest a  
On  va rester les bras croiss encore longtemps  
 httpstcotesyOerbD7",127,572,Emmanuel Macron
1471806508073635842,Fri Dec 17 11:36:31 +0000 2021,Arsne ,Sol 3,"lerougegorge hendrikdavi La primaire ouvert aux partisans de Macron Pcresse Zemmour et Le Pen rve

Ces ordures qui passent leur temps  dnigrer la gauche alors que pendant 4 ans ils nont rien fait pour lunion quelle insulte",1681,0,Emmanuel Macron
1471806953936535553,Fri Dec 17 11:38:17 +0000 2021,Barbossa Costa,,"RT jylgallou Zemmour au banc dessai
imposer ses thmes  Immigration
mobiliser  Villepinte
matriser les sujets conomiques  ",54,25,Emmanuel Macron
1471805719410266115,Fri Dec 17 11:33:22 +0000 2021,Odile,,RT DD75007 Prsidentielles 2022  Rang derrire vpecresse laurentwauquiez estime que voter Zemmour cest permettre  Macron de con,438,17,Emmanuel Macron
1471805999988318214,Fri Dec 17 11:34:29 +0000 2021,Marina,Blessy France,RT morandiniblog URGENT  Dception pour lintervention dEmmanuel Macron sur TF1 qui natteint pas les 4 millions de tlspectateurs en,154,670,Emmanuel Macron
1471805693397286919,Fri Dec 17 11:33:16 +0000 2021,Michelle Boitelet Vaccine Pfizer,Vallauris France,RT BTEMB LaurentSegnis EmmanuelMacron lesRepublicains  vpecresse   ChJacob77   vous osez dire que EMacron n a rien fait  Vous con,8159,12,Emmanuel Macron
1471805114704973828,Fri Dec 17 11:30:58 +0000 2021,Endraux,,bapt3107 Aprs Macron Macron raciste Macron femme Macron colo Macron parisien prparez vous  lentre du nouveaux challenger  Macron racis ,118,0,Emmanuel Macron
1471807226193092621,Fri Dec 17 11:39:22 +0000 2021,Macronenprison,Paris France,RT TF1LeJT Il faut bien quil y ait un dbat au PS  la punchline de Mlenchon,71,1824,Emmanuel Macron
1471806900564115458,Fri Dec 17 11:38:04 +0000 2021,FClovis,Versailles,RT dupontaignan Macron na pas exclu Pire encore il sest prononc en faveur de la vaccination des enfants  Rsistons face  cette dida,1553,37,Emmanuel Macron
1471805135403769857,Fri Dec 17 11:31:03 +0000 2021,obywatel ,,On a limpression quil faut juste mettre les formes Bah autant aller avec Macron du coups,1540,0,Emmanuel Macron
1471805365482397700,Fri Dec 17 11:31:58 +0000 2021,cavelier joel,Castelnaudary France,"RT TVMAG Lacteur Lambert Wilson revient sur linterview du prsident EmmanuelMacron

Ctait un numro dhumilit  chaque fois",262,214,Emmanuel Macron
1471806754119950340,Fri Dec 17 11:37:29 +0000 2021,Mikasaaaaa ,,maxime21 PierreL57565017 aaaaaalexandre1 JirvaCaster JayTwittay Mais il se base sur aucune REELLE preuve que que des suppositions de personne qui naime pas Macron son antivax facho etc donc stop vos conneries Surtout que votre argumentaires sarrte quand on sait quen 2007 le mariage gay nest pas lgale donc vous tes juste bte,58,0,Emmanuel Macron
1471807131439484929,Fri Dec 17 11:38:59 +0000 2021,Warren Jenkins,Belfast Northern Ireland,RT SimonMcCoyTV Emmanuel Macron Petty France,2443,6,Emmanuel Macron
1471805192005898240,Fri Dec 17 11:31:17 +0000 2021,Corinne TARRAGO,,RT LeSommierRgis Linterview dEmmanuel Macron na ni convaincu ni mobilis les Franais httpstcoXuApeU6mav,95,33,Emmanuel Macron
1471806017512038411,Fri Dec 17 11:34:34 +0000 2021,Franceadelyne,,RT DENTDOURS1 MACRON A DCLAR  NOUS SOMMES EN GUERRE ,535,11,Emmanuel Macron
1471806633592467462,Fri Dec 17 11:37:00 +0000 2021,Dray JaneEsther,France,demontvalon1 EmmanuelMacron Ouais entre Macron et Hollande ya vraiment pas photo  Le 1er tant un traitre notoire couvrant les malfaisants Benalla Darmanin voire conseillers voyous quand le second na pas hsit  virer ses collgues sans thique  Macron est un trou duc ,2083,0,Emmanuel Macron
1471805427537043463,Fri Dec 17 11:32:13 +0000 2021,Marto,,RT FrancoisRuffin 2h de Macron ce soir Et demain les macronistes trustent 9 mdias sur 12 Vive le pluralisme  La dmocratie en march,1370,1226,Emmanuel Macron
1471806386183024644,Fri Dec 17 11:36:01 +0000 2021, Sandra ,Mulhouse France,RT GillesWell Qu bien pu dire hollande   Carla Bruni aprs avoir salu Brigitte macron  httpstcoKCkw3HOIua,824,48,Emmanuel Macron
1471806334152712193,Fri Dec 17 11:35:49 +0000 2021,Maratorov Maximilienovitch Velotaffeur,,RT RenaudTarlet Quelle se prsente quelle pique ses 2   Macron le soleil brillera toujours Ceux qui sintressent  la politique a,1130,2,Emmanuel Macron
1471806189235232769,Fri Dec 17 11:35:15 +0000 2021,Paps2004,,"RT PCF Quand tu gagnes Macron en audimat 
EmmanuelMacron   38 millions sur TF1 
FabienRoussel 41 millions sur France2tv
Roussel",17,149,Emmanuel Macron
1471805147546324994,Fri Dec 17 11:31:06 +0000 2021,Reine de Samba,World,RT TPMP Je nai jamais cru en Emmanuel Macron,1325,201,Emmanuel Macron
1471806742069751812,Fri Dec 17 11:37:26 +0000 2021,Victor Klemperer,,RT lebaronsimone1 Macron prsident est le rsultat dun accident lectoral avec 60 dabstentions Il a pass son mandat  insulter les,77,657,Emmanuel Macron
1471806663820730373,Fri Dec 17 11:37:08 +0000 2021,nathalie agura,,"RT KersausonDe Sondage grandeur nature 
Macron a 18",336,286,Emmanuel Macron
1471806514222534658,Fri Dec 17 11:36:32 +0000 2021,Echard Christiane,,LePoint Mais il sert de faire valoir aux autres parti il n y a pas d alternance hlas une chance avec Taubira une toute petite chance non vraiment j ai rarement vu une campagne aussi mauvaise restera si personne on votera Macron un point c est tout httpstco2pcBkgLRXp,55,0,Emmanuel Macron
1471805492435509252,Fri Dec 17 11:32:28 +0000 2021,Amate Monique,SaintMalo France,"RT JULIELE55397745 Punchline 
8 des personnes interroges disent que la France est plus sre sous macron  
Si si il y en a quand m",2488,33,Emmanuel Macron
1471805351225921536,Fri Dec 17 11:31:55 +0000 2021,gtrolliet,IledeFrance France,"RT clementmci  INFO 
63 des Franais ne souhaitent pas quEmmanuel Macron se reprsente en 2022
Odoxa",118,405,Emmanuel Macron
1471805535443988480,Fri Dec 17 11:32:39 +0000 2021,mtalordon ,,Cest si beau tant de vide dans une numration des thmes de toute campagne quon pourrait presque y voir du Macron en 2016 Pas une seule ide concrte sinon sa candidature non vraiment cest trop beau httpstcoyPzOoqhXr8,2016,0,Emmanuel Macron
1471805414777966594,Fri Dec 17 11:32:10 +0000 2021,nathalie agura,,RT clementmci Le saviezvous  63 572000 Franais nont pas regard lentretien dEmmanuel Macron hier sur TF1 ,336,1580,Emmanuel Macron
1471807002796040194,Fri Dec 17 11:38:28 +0000 2021,Fabrice Moulin,Paris 12e,Valerie Pcresse battue par Emmanuel Macron presquautant que Le Pen au second tour si elle y parvient dans le 1er sondage OpinionWay postcongrs LR httpstco2mP4KBlzoO,1605,0,Emmanuel Macron
1471805247232299021,Fri Dec 17 11:31:30 +0000 2021,Cdric Ardouin,ChemillsurDme,"RenanLanglois Macron les coulisses de la victoire

Non je dconne ",660,0,Emmanuel Macron
1471806659630612480,Fri Dec 17 11:37:07 +0000 2021,06babette,Cannes France,"RT SudRadio SudRadio PrudhommeChri10 urgentiste

 Macron  Quel discours de populiste  Nous dire que le problme de lhopital",818,5,Emmanuel Macron
1471806343447302146,Fri Dec 17 11:35:51 +0000 2021,LAuvergnat,France,RT albanmoyaux ValeriePecresse tres teinte hier soir sur France2  Peut tre dj la fatigue ou la connaissance du dernier sondage sur,334,33,Emmanuel Macron
1471806102601973762,Fri Dec 17 11:34:54 +0000 2021,Lukasky ,,RT DelphOO Aux donneurs de leons sur les murs d ZemmourEric refresh Hollande et ses croissants en scooter chez sa matresse Sarko,16,12,Emmanuel Macron
1471805873009922057,Fri Dec 17 11:33:59 +0000 2021,Micha keep,paca un jour de juin 73,RT AvecRafikSmati Sur CNEWS RafikSmati souligne  juste titre quEmmanuel Macron se plaint des rigidits du systme alors que cela fai,158,55,Emmanuel Macron
1471806637073653763,Fri Dec 17 11:37:01 +0000 2021,Victor Klemperer,,RT LalobaRose Taubira ex collegue de Macron a lintention de se prsenter  la Presidentielle Celle qui a fait perdre la gauche en 2,77,36,Emmanuel Macron
1471805951187558402,Fri Dec 17 11:34:18 +0000 2021,izenah51,Rennes  France,Prsidentielle 2022  la popularit dEmmanuel Macron repart  la hausse selon notre sondage httpstcoa68z5tXqdJ,174,0,Emmanuel Macron
1471806509780811780,Fri Dec 17 11:36:31 +0000 2021,Michle GALINDO,BORDEAUX  FRANCE,"RT jylgallou Zemmour au banc dessai
imposer ses thmes  Immigration
mobiliser  Villepinte
matriser les sujets conomiques  ",2200,25,Emmanuel Macron
1471805424747921408,Fri Dec 17 11:32:12 +0000 2021,Paultable5,PyrnesOrientales Languedoc,RT Maskloff Selon un sondage 63 des franais ne veulent pas dune candidature Macron Il est en train de se Giscardiser,1740,6,Emmanuel Macron
1471806209586040832,Fri Dec 17 11:35:19 +0000 2021,Claude P ,France,BFMTV Enfin des gens sveillent quand ils se retrouvent face  la mort Monsieur si vous nous lisez nous nous ferions une joie de vous accueillir dans notre association Les vaccins avec Macron Nous militons pour la vaccination des rticents,52,0,Emmanuel Macron
1471806050173075468,Fri Dec 17 11:34:41 +0000 2021,Tuferas Face,,"RT VallooValloo Hier Macron  2h enregistres sans aucune contradiction
Ce soir Zemmour en direct on en est  3h et ce nest pas fini",2242,187,Emmanuel Macron
1471805336738746369,Fri Dec 17 11:31:51 +0000 2021,HB Amelie Cecilia,,RT jsferjou Sondage ravageur qui se conclue par un chiffre qui tue  63 des Franais ne souhaitent pas quEmmanuel Macron se prsente,211,1600,Emmanuel Macron
1471806543482044420,Fri Dec 17 11:36:39 +0000 2021,Duc des Vosges,,RT CNEWS Julien Denormandie  Que lon soutienne ou non Emmanuel Macron qui aujourdhui peut dire que le gouvernement a mal gr la cri,35,19,Emmanuel Macron
1471806414658195461,Fri Dec 17 11:36:08 +0000 2021,frdu57,Moselle Lorraine,RT JeanFranoisTou1 Zemmour sur le plateau de Cyril Hanouna si je navais pas mes 500 signatures,875,73,Emmanuel Macron
1471805614967898115,Fri Dec 17 11:32:58 +0000 2021,NicolasNe,Paris,RT audreygarric Les ufs issus de poules en batterie ont t rduits 36 de la production franaise contre 67 en 2017 Mais malgr l,137,27,Emmanuel Macron
1471806612046241795,Fri Dec 17 11:36:55 +0000 2021,Antonio Molina,,RT FigaroVox MacronTF1  Arnaud Benedetti Benedetti65 peroit dans ce quil juge tre un exercice dautosatisfaction une inquitude,35,12,Emmanuel Macron
1471806705277325317,Fri Dec 17 11:37:18 +0000 2021,Jean de Piolenc,France,"RT VictorSinclair3 France 
 11 vaccins obligatoires Depuis 1998 Avant ctait 3
 Bientt 12 
 Chloroquine interdite depuis une t",282,217,Emmanuel Macron
1471806785807867908,Fri Dec 17 11:37:37 +0000 2021,qmike549,France,"CNEWS qui aujourdhui peut dire que le gouvernement a mal gr la crise Moi 

La crise de cette pandmie nest pas la crise du Covid mais la crise des hpitaux

Macron Veran ont ananti notre systme de Sant en fermantdes lits en harcelant Corps mdical
httpstcoZWfgWGBmQ1",1265,0,Emmanuel Macron
1471806356550205443,Fri Dec 17 11:35:54 +0000 2021,RhodyOne de toutes les couleurs,,RT clementmci Le saviezvous  63 572000 Franais nont pas regard lentretien dEmmanuel Macron hier sur TF1 ,1290,1579,Emmanuel Macron
1471806083824234502,Fri Dec 17 11:34:49 +0000 2021,ThT JLM2022 MacronMafiaAuTPI Somos70,Toulouse,RT LaLucioleM Mlenchon est le seul qui peut viter que Macron soit rlu,3013,42,Emmanuel Macron
1471805158434779141,Fri Dec 17 11:31:09 +0000 2021,K1ng0fNo0b ,SeineMarne,RT Jujusese13 A tous les fakes sondages des fakes merdias qui nous annoncent le psycopathe Macron a 25 vous ntes plus crdibles quand,1666,162,Emmanuel Macron
1471805085755846662,Fri Dec 17 11:30:51 +0000 2021,Lzard Appliqu,,francoisedegois a y est le PS a trouver comment faire rlire Macron,247,0,Emmanuel Macron
1471805989078904835,Fri Dec 17 11:34:27 +0000 2021,cris des Benoit ,Territoire de Belfort France ,RT HenriGolant19 Expliquez moi comment Macron qui est hu siffl partout o il va qui a mme t gifl qui fait bides sur bides  la t,2174,1908,Emmanuel Macron
1471806812693442565,Fri Dec 17 11:37:43 +0000 2021,Leoss,,"francoisedegois Candidature inutile et vaine
Objectif plus de confusion affaiblir  le seul candidat de gauche authentique JLM2022 et accessoirement faire rlire Macron
Que cette bourgeoisie de gauche est prvisible",221,0,Emmanuel Macron
1471805413456809985,Fri Dec 17 11:32:10 +0000 2021,Daniel Laudic,,RT Loranaise fphilippot Jai boycott Macron et dsormais ce sera toujours comme Pendant ce temps le tyran et son clan nous ont in,60,19,Emmanuel Macron
1471805290391773191,Fri Dec 17 11:31:40 +0000 2021,Tekhyla,,Nirinine Macron tudiant Je suis sr quil a achet une maison avant davoir un CDI lui,67,0,Emmanuel Macron
1471807200628781056,Fri Dec 17 11:39:16 +0000 2021,pieri90,,"RT clementmci  INFO 
63 des Franais ne souhaitent pas quEmmanuel Macron se reprsente en 2022
Odoxa",263,404,Emmanuel Macron
1471806844960219142,Fri Dec 17 11:37:51 +0000 2021,Tina lmzere,Aquitaine France,RT SniperDeDroite La Macronie unanime pour saluer la prestation de Macron qui a corrig selon eux son image Son image reste la mme,2289,48,Emmanuel Macron
1471806035417604096,Fri Dec 17 11:34:38 +0000 2021,Michael,France,RT OnZeLeft vpecresse LeFigaro Heureusement quE Macron a eu le courage du QuoiQuilEnCote Sans quoi il nous en coterait bien dava,3448,6,Emmanuel Macron
1471805600766074883,Fri Dec 17 11:32:54 +0000 2021,van moerkercke ,La Rochelle France,RT Twystsky Les 2 tiers des Franais ne souhaitent pas que Macron se reprsente  la prsidentielle   LeFigaro,2158,72,Emmanuel Macron
1471805750439825411,Fri Dec 17 11:33:30 +0000 2021,Siph,Rennes Bretagne France,en fait la gauche librale cherche  saboter llection pour que macron soit rlu cest pas possible autrement httpstcoGE9DGptQmI,454,0,Emmanuel Macron
1471805087412625415,Fri Dec 17 11:30:52 +0000 2021,anti fdp,,RT MaudPK  Le gendre de Brigitte Macron Antoine Choteau a formul lespoir de voir lavion qui transportait ZemmourEric et PhdeVilli,132,2789,Emmanuel Macron
1471806132431859713,Fri Dec 17 11:35:01 +0000 2021,Vega,,RT jaclostermann Chacun a bien compris que pour viter lexplosion de la bombe atomique Alstom LAffaire Emmanuel Macron et Valrie,5,948,Emmanuel Macron
1471807048635588608,Fri Dec 17 11:38:39 +0000 2021,RgisRaultEnMarche78,,RT albanmoyaux ValeriePecresse tres teinte hier soir sur France2  Peut tre dj la fatigue ou la connaissance du dernier sondage sur,813,33,Emmanuel Macron
1471805030177165314,Fri Dec 17 11:30:38 +0000 2021,SansRancune,lle dJeffrey,"PATRICKJARDIN15 ZemmourEric 
 Vous tes dans un film faut ouvrir les yeux  Zemmour nes la que pour faire relire un candidat du systme ce sont que des calculs  comme en 2016 et laffaire Fillon  il fallait sa mort pour faire lire Macron 
Et les notes il en a pas besoin vu que tout est dj",227,0,Emmanuel Macron
1471805958967996420,Fri Dec 17 11:34:20 +0000 2021,Luce,,RT lebaronsimone1 Macron prsident est le rsultat dun accident lectoral avec 60 dabstentions Il a pass son mandat  insulter les,75,657,Emmanuel Macron
1471806557033799687,Fri Dec 17 11:36:42 +0000 2021,Les Gaulois ,,RT clementmci Bilan de lentretien extrmement mauvais pour Macron 9 ont cout linterview en entier 60 ne lont pas trouv convain,98,181,Emmanuel Macron
1471805865548263426,Fri Dec 17 11:33:57 +0000 2021, Sandra ,Mulhouse France,"RT NaphtalineLeBon La France de Macron cest a  
On  va rester les bras croiss encore longtemps  
 httpstcotesyOerbD7",824,572,Emmanuel Macron
1471805321035321354,Fri Dec 17 11:31:48 +0000 2021,Christophe,Brest France,"AgnesRunacher Ce nul par son prlvement  la source me doit 2 mois de salaire de trop prlev alors que je suis en cessation dactivit amiante atteint par lamiante MP30 et le trsor public ne veut pas me rembourser avant lt prochain

Macron tes un encul incomptent",116,0,Emmanuel Macron
1471807220023242753,Fri Dec 17 11:39:20 +0000 2021,Philippe Baumann2, France,RT FrancoisCherix LEurope bashing en Suisse ressemble beaucoup au Macron bashing en France Dans les deux cas les ractionnaires d,577,26,Emmanuel Macron
1471807087445434378,Fri Dec 17 11:38:49 +0000 2021,Elise Gaelle,,RT holstemax Macron dit quil a appris  aimer les Franais Donc initialement il ne les aimait pas ,50,290,Emmanuel Macron
1471806469825826817,Fri Dec 17 11:36:21 +0000 2021,David Lane,,RT jsferjou Sondage ravageur qui se conclue par un chiffre qui tue  63 des Franais ne souhaitent pas quEmmanuel Macron se prsente,13,1600,Emmanuel Macron
1471806053742428167,Fri Dec 17 11:34:42 +0000 2021,EddyBZH Macron2022EnsembleCitoyens,Quimper,"RT leParisien DIRECT  En France le comit dthique approuve louverture de la vaccination  tous les enfants de 511 ans
 httpst",414,13,Emmanuel Macron
1471805807595597825,Fri Dec 17 11:33:44 +0000 2021,cris des Benoit ,Territoire de Belfort France ,"RT Lebougre15 Taux daudition sur TF1 pour Macron 
3 millions de tlspectateurs 
Comment peuton tre   25  dans les sondages avec un",2174,743,Emmanuel Macron
1471807067384127490,Fri Dec 17 11:38:44 +0000 2021,Franceadelyne,,RT Chtidit1 Tapanur Quon le souhaite ou le redoute je pense quil faut tre lucide Macron fait tout pour embraser le pays et cela va,535,3,Emmanuel Macron
1471806852472127506,Fri Dec 17 11:37:53 +0000 2021,PalavasLesFlots,PalavaslesFlots ,bernardsala Cyrilhanouna Comme Macron qui doit assurer la scurit de ses compatriotes quoi,908,0,Emmanuel Macron
1471806401714528269,Fri Dec 17 11:36:05 +0000 2021,Veronique Perrot FreeAssange,Macronie Imperiale ,"RT JoshuaHabib4 Mlenchon doit tre haut dans les sondages pour sortir les complices du PS de la naphtaline 
Quand estce que Taubira pr",922,18,Emmanuel Macron
1471806360639741958,Fri Dec 17 11:35:55 +0000 2021,Doudou Didon,,"JeanLegendLink franceinfo Elle avait des tas de dossiers au dbat du second tour en 2017 On a vu comment elle a gr 
a fait toujours a quand on arrive sans avoir pris la peine de bosser ses sujets Jimagine quelle tait trop occupe avec ses chats pour affronter Macron",2,0,Emmanuel Macron
1471806255308156931,Fri Dec 17 11:35:30 +0000 2021,Vidal Vronique,,RT FrancoisRuffin La course entre les patients les brancards dans les couloirs les lits les services les maternits ferms  a nes,419,948,Emmanuel Macron
1471806015091920897,Fri Dec 17 11:34:33 +0000 2021,Mentalement ailleurs,Evry France,RT ConflitsFrance  FLASH  Les personnes vaccines nauront pas  raliser de tests pour voyager entre les pays membres de l UE,920,111,Emmanuel Macron
1471805194358988803,Fri Dec 17 11:31:17 +0000 2021,Jrmie Alb,France,LandryNgang Et 2 historiquement la gauche a 3 poches dlecteurs  Les classes populaires les jeunes et la bourgeoisie culturelle Il y a une partie de cette bourgeoisie qui est perdue chez Macron et qui peut revenir sur un candidat plus consensuel Lobjectif cest le 2eme tour pr gagner,244,0,Emmanuel Macron
1471807182454853638,Fri Dec 17 11:39:11 +0000 2021,Barbarossa,Villejuif France,RT postbadmuscu1 Dans un dbat Macron il va fumer  le prof dhistoire Zemmour faut tre clair,466,14,Emmanuel Macron
1471806604706291714,Fri Dec 17 11:36:54 +0000 2021,Une2nous2,,couter Macron et LAREM cest un peu comme prendre un somnifre aux effets secondaires de cauchemars garantis,291,0,Emmanuel Macron
1471805867406286848,Fri Dec 17 11:33:58 +0000 2021,Maxxim,,"RT VictorSinclair3 France 
 11 vaccins obligatoires Depuis 1998 Avant ctait 3
 Bientt 12 
 Chloroquine interdite depuis une t",67,217,Emmanuel Macron
1471805658676985860,Fri Dec 17 11:33:08 +0000 2021,PEYRAT Marguerite,,RT MLPofficiel  Emmanuel Macron a encore dclar hier que limmigration est une chance pour notre pays or on voit bien notamment  ,100,211,Emmanuel Macron
1471805279302041604,Fri Dec 17 11:31:38 +0000 2021,Bernard TEMBOURY,FRANCHE COMTE,COSTESLionelEr Messara14 EmmanuelMacron JeanCASTEX BVAFrance lesRepublicains vpecresse   chiffre intressant 51  des sympathisants  LR  Pour vous ce sont  donc des abrutis   Vous croyez que vous tes crdibles en disant que EMacron n a rien fait ,4089,0,Emmanuel Macron
1471807042843201549,Fri Dec 17 11:38:38 +0000 2021,Tanou,Ailleurs  ,"RT Mestralain Je nai pas regard macron qui me donne la nause  lire les commentaires 
Zemmour nous la bien dit macron cest du ven",67,265,Emmanuel Macron
1471806094519508996,Fri Dec 17 11:34:52 +0000 2021,Franoise Laurentin,Paris,RT jvivante Quand jtais tte de liste aux municipales soutenu par la majorit prsidentielle jtais souvent tax de candidat des ri,493,111,Emmanuel Macron
1471805537180389380,Fri Dec 17 11:32:39 +0000 2021,Jean Philippe Tanguy,,"Obsevydial tythanblog AnteCrematoria vpecresse EmmannuelMarcon ZemmourEric MLPofficiel RNationaloff En 2017 nous ne sommes presentes devant les electeurs au 2eme tour en faisant bloc contre Emmanuel Macron et le systeme avec un accord de gouvernement 

Marine a toujours respecte cet accord NDA la trahi Le reste cest du cinema et personne ne sest vendu",10618,0,Emmanuel Macron
1471805925296119811,Fri Dec 17 11:34:12 +0000 2021,CALVEZ Michel,Quimper Finistre 29000,RT marcduweb Macron nie le grand remplacement mais DARMANIN est oblig de faire protger les glises de France pour les ftes de Nol ,1713,126,Emmanuel Macron
1471807022446391299,Fri Dec 17 11:38:33 +0000 2021,ChrisChris, La Terre  Au Petit Paris ,RT COSTESLionelEr Prsidentielle 2022  la popularit dEmmanuel Macron repart  la hausse selon notre sondage httpstcoyBeskjktnn,457,14,Emmanuel Macron
1471805028113473537,Fri Dec 17 11:30:38 +0000 2021,Agathe Rau,Bordeaux France,RT COSTESLionelEr Prsidentielle 2022  la popularit dEmmanuel Macron repart  la hausse selon notre sondage httpstcoyBeskjktnn,685,16,Emmanuel Macron
1471807099160178693,Fri Dec 17 11:38:51 +0000 2021,Parislive,Paris France,RT Noesis14 Aprs avoir affirm que Macron abaissait la fonction Zemmour se rend chez le bouffon Hanouna dans une mission qui sappelle,406,90,Emmanuel Macron
1471807049587695623,Fri Dec 17 11:38:40 +0000 2021,HB Amelie Cecilia,,RT HenriGolant19 Expliquez moi comment Macron qui est hu siffl partout o il va qui a mme t gifl qui fait bides sur bides  la t,211,1908,Emmanuel Macron
